season,avg_innings_score,run_rate,is_six,economy_rate,BFI
2007/08,0.32574184298561937,0.4038224502541716,0.15272244355909692,0.4038224502541712,32.15272967632647
2009,0.0,0.0,0.0,0.0,0.0
2009/10,0.3293052343587335,0.3176131840352694,0.10491367861885792,0.31761318403526895,26.73613202620324
2011,0.1172588376707071,0.13109495397965132,0.17397078353253648,0.13109495397965087,13.835488229063644
2012,0.2560892908375201,0.19535488692375935,0.298804780876494,0.1953548869237589,23.64009613903831
2013,0.09328378244396829,0.13121310337378356,0.22974767596281542,0.1312131033737831,14.63644162885876
2014,0.3386907420056122,0.3851748208295902,0.2749003984063745,0.38517482082958976,34.59851955177917
2015,0.3161421913336735,0.44992022422527267,0.24435590969455512,0.4499202242252722,36.50846373696934
2016,0.38666763213663335,0.4302270292492594,0.17397078353253648,0.43022702924925893,35.5273118541922
2017,0.37155957191061706,0.4842544860133744,0.26294820717131473,0.48425448601337395,40.075418777717005
2018,0.5932107186475695,0.6037280491630481,0.48339973439575024,0.6037280491630477,57.10166378423539
2019,0.37575340526707457,0.49267432847231074,0.3691899070385126,0.4926743284723103,43.25729923125521
2020/21,0.1998965313263441,0.41600753337585505,0.3027888446215139,0.4160075333758546,33.36751106748919
2021,0.2812045076684826,0.28456790263693055,0.23771580345285526,0.2845679026369301,27.201402909879963
2022,0.569103369346668,0.5054807562010115,0.7357237715803452,0.5054807562010111,57.894716333225894
2023,0.8056769437003917,0.7459038410020487,0.8180610889774235,0.7459038410020473,77.88864286704778
2024,1.0,1.0,0.9999999999999999,1.0000000000000004,100.0
