venue,avg_score
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",200.0
"Arun Jaitley Stadium, Delhi",190.34375
"Eden Gardens, Kolkata",190.15625
"M Chinnaswamy Stadium, Bengaluru",190.07142857142858
"Himachal Pradesh Cricket Association Stadium, Dharamsala",189.375
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",185.6
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",182.42307692307693
Brabourne Stadium,174.05
Punjab Cricket Association IS Bindra Stadium,173.8
"Wankhede Stadium, Mumbai",173.1888888888889
"Brabourne Stadium, Mumbai",171.2941176470588
"Sawai Mansingh Stadium, Jaipur",171.05
M.Chinnaswamy Stadium,170.9
"Barsapara Cricket Stadium, Guwahati",169.83333333333334
"Narendra Modi Stadium, Ahmedabad",169.79166666666666
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",167.5
"Dr DY Patil Sports Academy, Mumbai",164.325
Barabati Stadium,162.71428571428572
Green Park,162.25
"Punjab Cricket Association IS Bindra Stadium, Mohali",161.13636363636363
Himachal Pradesh Cricket Association Stadium,160.94444444444446
Holkar Cricket Stadium,159.55555555555554
Maharashtra Cricket Association Stadium,159.25
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",159.03703703703704
Wankhede Stadium,158.15540540540542
"Maharashtra Cricket Association Stadium, Pune",158.0
"Punjab Cricket Association Stadium, Mohali",156.95714285714286
"MA Chidambaram Stadium, Chepauk",155.8877551020408
Feroz Shah Kotla,154.7983193277311
"Zayed Cricket Stadium, Abu Dhabi",154.6875
M Chinnaswamy Stadium,154.6793893129771
Rajiv Gandhi International Stadium,154.36666666666667
Eden Gardens,153.62337662337663
Sharjah Cricket Stadium,153.26785714285714
"MA Chidambaram Stadium, Chepauk, Chennai",152.86206896551724
SuperSport Park,152.20833333333334
Sawai Mansingh Stadium,151.74468085106383
Saurashtra Cricket Association Stadium,151.5
Arun Jaitley Stadium,151.43333333333334
De Beers Diamond Oval,149.5
"Rajiv Gandhi International Stadium, Uppal",148.88
"Vidarbha Cricket Association Stadium, Jamtha",147.0
JSCA International Stadium Complex,146.85714285714286
St George's Park,145.21428571428572
Kingsmead,145.1
Shaheed Veer Narayan Singh International Stadium,145.08333333333334
"Sardar Patel Stadium, Motera",144.8846153846154
Dubai International Cricket Stadium,144.5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,144.07692307692307
New Wanderers Stadium,143.25
Sheikh Zayed Stadium,142.8548387096774
MA Chidambaram Stadium,142.38888888888889
Subrata Roy Sahara Stadium,141.5
Dr DY Patil Sports Academy,141.47058823529412
Nehru Stadium,136.3
Buffalo Park,133.16666666666666
OUTsurance Oval,132.25
Newlands,112.3125
